HHID,PERSID,VPLID,RitID,HH_VALID,P_VALID,KHVM,WEGGEWEEST,VERTREKP,AANTVPL,VPLDAGNR,VERPL,VERPLNR,TOER,TOER_TYPE,AANTRIT,KMOTIEF,VERTPROV,AANKPROV,KAFSTV,KVERTTIJD,KREISDUUR,ROLAUTO,PARKEERKOSTEN,VERTRAGING,DAGSOORT,OORDEEL_AUTO,OORDEEL_TREIN,OORDEEL_BTM,OORDEEL_FIETS,OORDEEL_BROMMER,OORDEEL_LOPEN,GEBRUIK_AUTO_STELLING3,GEBRUIK_AUTO_STELLING4,GEBRUIK_TREIN_STELLING3,GEBRUIK_TREIN_STELLING4,GEBRUIK_BTM_STELLING3,GEBRUIK_BTM_STELLING4,GEBRUIK_FIETS_STELLING2,GEBRUIK_FIETS_STELLING3,GEBRUIK_LOPEN_STELLING3,GEBRUIK_LOPEN_STELLING4,HHPERS,HHSAM,N_KIND,HHBRUTOINK2_w5,HHAUTO_N,HHAUTO,HHBESTEL,HHHYBRID,HHMOTOR,HHBROM,HHSNOR,HHFIETS,HHVOUWFIETS,HHEBIKE
30158843,3015884301,14228302,1422830201,2,3,7,1,1,2,3,1,2,0,9,1,4,27,27,1,5,2,0,0,0,1,3,4,4,4,2,5,4,3,3,5,3,4,4,4,4,4,2,2,0,7,1,1,0,0,0,0,0,1,0,0
30158843,3015884302,14229104,1422910401,2,3,7,1,2,4,1,1,4,0,9,1,4,27,27,3,6,6,0,0,0,1,3,5,4,4,2,5,4,4,3,4,3,4,4,4,3,4,2,2,0,7,1,1,0,0,0,0,0,1,0,0
30158843,3015884301,14228103,1422810301,2,3,6,1,1,5,1,1,3,0,9,1,4,27,27,3,5,3,0,0,0,1,3,4,4,4,2,5,4,3,3,5,3,4,4,4,4,4,2,2,0,7,1,1,0,0,0,0,0,1,0,0
30158843,3015884302,14229204,1422920401,2,3,6,1,2,4,2,1,4,0,9,1,1,27,27,4,8,4,0,0,0,1,3,5,4,4,2,5,4,4,3,4,3,4,4,4,3,4,2,2,0,7,1,1,0,0,0,0,0,1,0,0
30158843,3015884302,14229304,1422930401,2,3,7,1,1,4,3,1,4,0,9,1,4,27,27,3,8,5,0,0,0,1,3,5,4,4,2,5,4,4,3,4,3,4,4,4,3,4,2,2,0,7,1,1,0,0,0,0,0,1,0,0
30401043,3040104301,20083302,2008330201,2,3,1,1,1,3,3,1,2,0,9,1,7,27,27,4,12,4,1,0,0,1,4,4,4,4,3,2,3,4,2,4,2,3,3,4,2,2,1,1,0,2,1,1,0,0,0,0,0,0,0,1
30039081,3003908102,17305101,1730510101,2,3,1,1,1,4,1,1,1,0,9,1,4,27,27,2,5,2,1,6,0,1,5,2,2,4,3,4,5,4,2,5,2,4,2,4,2,4,2,2,0,4,1,1,0,0,0,0,0,1,0,0
30858795,3085879501,18054305,1805430501,2,3,6,1,1,6,3,1,5,0,9,1,4,27,27,8,8,5,0,0,0,1,4,4,4,5,6,4,5,4,2,4,2,4,5,4,2,4,1,1,0,3,1,1,0,0,0,0,0,1,0,1
30745525,3074552501,17881202,1788120201,2,3,1,1,1,3,2,1,2,0,9,2,4,27,27,3,9,3,1,2,0,1,5,3,3,4,3,3,5,4,4,4,3,4,3,3,2,4,3,5,0,5,2,1,0,0,0,0,0,1,0,1
30745525,3074552501,17881202,1788120202,2,3,1,1,1,3,2,0,2,0,9,2,4,27,27,3,9,3,1,2,0,1,5,3,3,4,3,3,5,4,4,4,3,4,3,3,2,4,3,5,0,5,2,1,0,0,0,0,0,1,0,1
30888901,3088890101,19230301,1923030101,2,3,1,1,1,2,3,1,1,0,9,1,4,27,27,8,7,5,1,13,0,2,5,3,3,3,3,3,5,5,2,3,2,2,3,3,3,3,3,3,1,3,2,1,0,0,0,0,0,1,0,0
