Variable,Var_description,Value,Label,Measurement_level,BaseData_Type,Name_BaseData,Filter_Variables
GEBRUIK_TREIN_STELLING6,Travelling by train is pleasurable,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_TREIN_STELLING7,Travelling by train gives me prestige,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_TREIN_STELLING7,Travelling by train gives me prestige,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_TREIN_STELLING7,Travelling by train gives me prestige,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_TREIN_STELLING7,Travelling by train gives me prestige,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_TREIN_STELLING7,Travelling by train gives me prestige,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_TREIN_STELLING7,Travelling by train gives me prestige,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING1,"I find travelling by bus, tram or metro to be comfortable",1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING1,"I find travelling by bus, tram or metro to be comfortable",2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING1,"I find travelling by bus, tram or metro to be comfortable",3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING1,"I find travelling by bus, tram or metro to be comfortable",4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING1,"I find travelling by bus, tram or metro to be comfortable",5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING1,"I find travelling by bus, tram or metro to be comfortable",6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING2,"I find travelling by bus, tram or metro to be relaxing",1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING2,"I find travelling by bus, tram or metro to be relaxing",2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING2,"I find travelling by bus, tram or metro to be relaxing",3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING2,"I find travelling by bus, tram or metro to be relaxing",4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING2,"I find travelling by bus, tram or metro to be relaxing",5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING2,"I find travelling by bus, tram or metro to be relaxing",6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING3,"Travelling by bus, tram or metro saves me time",1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING3,"Travelling by bus, tram or metro saves me time",2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING3,"Travelling by bus, tram or metro saves me time",3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING3,"Travelling by bus, tram or metro saves me time",4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING3,"Travelling by bus, tram or metro saves me time",5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING3,"Travelling by bus, tram or metro saves me time",6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING4,"Travelling by bus, tram or metro is safe",1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING4,"Travelling by bus, tram or metro is safe",2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING4,"Travelling by bus, tram or metro is safe",3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING4,"Travelling by bus, tram or metro is safe",4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING4,"Travelling by bus, tram or metro is safe",5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING4,"Travelling by bus, tram or metro is safe",6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_BTM_STELLING5,"I find travelling by bus, tram or metro to be flexible",1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING5,"I find travelling by bus, tram or metro to be flexible",2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING5,"I find travelling by bus, tram or metro to be flexible",3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING5,"I find travelling by bus, tram or metro to be flexible",4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING5,"I find travelling by bus, tram or metro to be flexible",5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING5,"I find travelling by bus, tram or metro to be flexible",6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING6,"Travelling by bus, tram or metro is pleasurable",1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING6,"Travelling by bus, tram or metro is pleasurable",2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING6,"Travelling by bus, tram or metro is pleasurable",3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING6,"Travelling by bus, tram or metro is pleasurable",4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING6,"Travelling by bus, tram or metro is pleasurable",5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING6,"Travelling by bus, tram or metro is pleasurable",6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING7,"Travelling by bus, tram or metro gives me prestige",1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING7,"Travelling by bus, tram or metro gives me prestige",2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING7,"Travelling by bus, tram or metro gives me prestige",3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING7,"Travelling by bus, tram or metro gives me prestige",4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING7,"Travelling by bus, tram or metro gives me prestige",5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_BTM_STELLING7,"Travelling by bus, tram or metro gives me prestige",6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING1,I find cycling to be comfortable,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING1,I find cycling to be comfortable,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING1,I find cycling to be comfortable,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING1,I find cycling to be comfortable,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING1,I find cycling to be comfortable,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING1,I find cycling to be comfortable,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING2,I find cycling to be relaxing,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING2,I find cycling to be relaxing,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING2,I find cycling to be relaxing,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING2,I find cycling to be relaxing,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING2,I find cycling to be relaxing,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING2,I find cycling to be relaxing,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING3,Cycling saves me time,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING3,Cycling saves me time,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING3,Cycling saves me time,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING3,Cycling saves me time,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING3,Cycling saves me time,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING3,Cycling saves me time,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_FIETS_STELLING4,Cycling is safe,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING4,Cycling is safe,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING4,Cycling is safe,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING4,Cycling is safe,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING4,Cycling is safe,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING4,Cycling is safe,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING5,I find cycling to be flexible,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING5,I find cycling to be flexible,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING5,I find cycling to be flexible,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING5,I find cycling to be flexible,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING5,I find cycling to be flexible,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING5,I find cycling to be flexible,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING6,Cycling is pleasurable,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING6,Cycling is pleasurable,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING6,Cycling is pleasurable,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING6,Cycling is pleasurable,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING6,Cycling is pleasurable,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING6,Cycling is pleasurable,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING7,Cycling gives me prestige,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING7,Cycling gives me prestige,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING7,Cycling gives me prestige,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING7,Cycling gives me prestige,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING7,Cycling gives me prestige,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_FIETS_STELLING7,Cycling gives me prestige,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING1,I find walking to be comfortable,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING1,I find walking to be comfortable,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING1,I find walking to be comfortable,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING1,I find walking to be comfortable,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING1,I find walking to be comfortable,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING1,I find walking to be comfortable,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING2,I find walking to be relaxing,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING2,I find walking to be relaxing,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING2,I find walking to be relaxing,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING2,I find walking to be relaxing,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING2,I find walking to be relaxing,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING2,I find walking to be relaxing,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING3,Walking saves me time,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING3,Walking saves me time,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING3,Walking saves me time,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING3,Walking saves me time,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING3,Walking saves me time,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING3,Walking saves me time,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING4,Walking is safe,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING4,Walking is safe,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING4,Walking is safe,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING4,Walking is safe,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING4,Walking is safe,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING4,Walking is safe,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,1
GEBRUIK_LOPEN_STELLING5,I find walking to be flexible,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING5,I find walking to be flexible,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING5,I find walking to be flexible,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING5,I find walking to be flexible,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING5,I find walking to be flexible,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING5,I find walking to be flexible,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING6,Walking is pleasurable,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING6,Walking is pleasurable,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING6,Walking is pleasurable,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING6,Walking is pleasurable,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING6,Walking is pleasurable,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING6,Walking is pleasurable,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING7,Walking gives me prestige,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING7,Walking gives me prestige,2,disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING7,Walking gives me prestige,3,"do not agree, do not disagree",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING7,Walking gives me prestige,4,agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING7,Walking gives me prestige,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
GEBRUIK_LOPEN_STELLING7,Walking gives me prestige,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING1,Travelling must be comfortable,1,Very unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING1,Travelling must be comfortable,2,Unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING1,Travelling must be comfortable,3,"Not important, not unimportant",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING1,Travelling must be comfortable,4,Important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING1,Travelling must be comfortable,5,Very important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING2,Travelling must be relaxing,1,Very unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING2,Travelling must be relaxing,2,Unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING2,Travelling must be relaxing,3,"Not important, not unimportant",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING2,Travelling must be relaxing,4,Important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING2,Travelling must be relaxing,5,Very important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING3,Travelling must save me time,1,Very unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING3,Travelling must save me time,2,Unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING3,Travelling must save me time,3,"Not important, not unimportant",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING3,Travelling must save me time,4,Important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING3,Travelling must save me time,5,Very important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING4,Travelling must be safe,1,Very unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING4,Travelling must be safe,2,Unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING4,Travelling must be safe,3,"Not important, not unimportant",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING4,Travelling must be safe,4,Important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING4,Travelling must be safe,5,Very important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING5,Travelling must be flexible,1,Very unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING5,Travelling must be flexible,2,Unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING5,Travelling must be flexible,3,"Not important, not unimportant",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING5,Travelling must be flexible,4,Important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING5,Travelling must be flexible,5,Very important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING6,Travelling must be pleasurable,1,Very unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING6,Travelling must be pleasurable,2,Unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING6,Travelling must be pleasurable,3,"Not important, not unimportant",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING6,Travelling must be pleasurable,4,Important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING6,Travelling must be pleasurable,5,Very important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING7,Travelling must give me prestige,1,Very unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING7,Travelling must give me prestige,2,Unimportant,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING7,Travelling must give me prestige,3,"Not important, not unimportant",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING7,Travelling must give me prestige,4,Important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
BELANG_STELLING7,Travelling must give me prestige,5,Very important,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_01,"When I'm behind the wheel, I have a sense of control",1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_01,"When I'm behind the wheel, I have a sense of control",2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_01,"When I'm behind the wheel, I have a sense of control",3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_01,"When I'm behind the wheel, I have a sense of control",4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_01,"When I'm behind the wheel, I have a sense of control",5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_01,"When I'm behind the wheel, I have a sense of control",6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_01,"When I'm behind the wheel, I have a sense of control",7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_02,I like to drive fast,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_02,I like to drive fast,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_02,I like to drive fast,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_02,I like to drive fast,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_02,I like to drive fast,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_02,I like to drive fast,6,No opinion,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_02,I like to drive fast,7,"Not asked, person is younger than 17 years old",Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_03,Driving a car is my hobby,1,strongly disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_03,Driving a car is my hobby,2,Somewhat disagree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_03,Driving a car is my hobby,3,Neutral,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_03,Driving a car is my hobby,4,Somewhat agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
AUTO_STELLING_W6_03,Driving a car is my hobby,5,strongly agree,Ordinal,Personal_preferences,MPNWAVE6_Pdata_bijzonder,0
